Edad,Sexo,Valor,Data,Tipo
79 años,Hombres,28589,Absolutos,entre100001y500000
80 años,Hombres,32598,Absolutos,entre100001y500000
81 años,Hombres,20612,Absolutos,entre100001y500000
82 años,Hombres,22089,Absolutos,entre100001y500000
83 años,Hombres,22277,Absolutos,entre100001y500000
84 años,Hombres,22086,Absolutos,entre100001y500000
85 años,Hombres,19891,Absolutos,entre100001y500000
86 años,Hombres,17739,Absolutos,entre100001y500000
87 años,Hombres,15707,Absolutos,entre100001y500000
88 años,Hombres,13691,Absolutos,entre100001y500000
89 años,Hombres,10932,Absolutos,entre100001y500000
90 años,Hombres,8985,Absolutos,entre100001y500000
91 años,Hombres,6946,Absolutos,entre100001y500000
92 años,Hombres,5537,Absolutos,entre100001y500000
93 años,Hombres,3865,Absolutos,entre100001y500000
94 años,Hombres,3072,Absolutos,entre100001y500000
95 años,Hombres,2149,Absolutos,entre100001y500000
96 años,Hombres,1495,Absolutos,entre100001y500000
97 años,Hombres,1021,Absolutos,entre100001y500000
98 años,Hombres,666,Absolutos,entre100001y500000
99 años,Hombres,463,Absolutos,entre100001y500000
100 y más años,Hombres,871,Absolutos,entre100001y500000
0 años,Hombres,17450,Absolutos,entre10001y20000
1 año,Hombres,19546,Absolutos,entre10001y20000
2 años,Hombres,20775,Absolutos,entre10001y20000
3 años,Hombres,22176,Absolutos,entre10001y20000
4 años,Hombres,23539,Absolutos,entre10001y20000
5 años,Hombres,24494,Absolutos,entre10001y20000
6 años,Hombres,24900,Absolutos,entre10001y20000
7 años,Hombres,24882,Absolutos,entre10001y20000
8 años,Hombres,26595,Absolutos,entre10001y20000
9 años,Hombres,27219,Absolutos,entre10001y20000
10 años,Hombres,27720,Absolutos,entre10001y20000
11 años,Hombres,28926,Absolutos,entre10001y20000
12 años,Hombres,30021,Absolutos,entre10001y20000
13 años,Hombres,28898,Absolutos,entre10001y20000
14 años,Hombres,28866,Absolutos,entre10001y20000
15 años,Hombres,27920,Absolutos,entre10001y20000
16 años,Hombres,27662,Absolutos,entre10001y20000
17 años,Hombres,27168,Absolutos,entre10001y20000
18 años,Hombres,26706,Absolutos,entre10001y20000
19 años,Hombres,26091,Absolutos,entre10001y20000
20 años,Hombres,26348,Absolutos,entre10001y20000
21 años,Hombres,25873,Absolutos,entre10001y20000
22 años,Hombres,25245,Absolutos,entre10001y20000
23 años,Hombres,25210,Absolutos,entre10001y20000
24 años,Hombres,25047,Absolutos,entre10001y20000
25 años,Hombres,24972,Absolutos,entre10001y20000
26 años,Hombres,25353,Absolutos,entre10001y20000
27 años,Hombres,26189,Absolutos,entre10001y20000
28 años,Hombres,26539,Absolutos,entre10001y20000
29 años,Hombres,26534,Absolutos,entre10001y20000
30 años,Hombres,26966,Absolutos,entre10001y20000
31 años,Hombres,27509,Absolutos,entre10001y20000
32 años,Hombres,27865,Absolutos,entre10001y20000
33 años,Hombres,28549,Absolutos,entre10001y20000
34 años,Hombres,29347,Absolutos,entre10001y20000
35 años,Hombres,30209,Absolutos,entre10001y20000
36 años,Hombres,31779,Absolutos,entre10001y20000
37 años,Hombres,33319,Absolutos,entre10001y20000
38 años,Hombres,35083,Absolutos,entre10001y20000
39 años,Hombres,37268,Absolutos,entre10001y20000
40 años,Hombres,39476,Absolutos,entre10001y20000
41 años,Hombres,41114,Absolutos,entre10001y20000
42 años,Hombres,42985,Absolutos,entre10001y20000
43 años,Hombres,43509,Absolutos,entre10001y20000
44 años,Hombres,44237,Absolutos,entre10001y20000
45 años,Hombres,43975,Absolutos,entre10001y20000
46 años,Hombres,43702,Absolutos,entre10001y20000
47 años,Hombres,42394,Absolutos,entre10001y20000
48 años,Hombres,41949,Absolutos,entre10001y20000
49 años,Hombres,41437,Absolutos,entre10001y20000
50 años,Hombres,40638,Absolutos,entre10001y20000
51 años,Hombres,39768,Absolutos,entre10001y20000
52 años,Hombres,39321,Absolutos,entre10001y20000
53 años,Hombres,39185,Absolutos,entre10001y20000
54 años,Hombres,38119,Absolutos,entre10001y20000
55 años,Hombres,37719,Absolutos,entre10001y20000
56 años,Hombres,37529,Absolutos,entre10001y20000
57 años,Hombres,35212,Absolutos,entre10001y20000
58 años,Hombres,33560,Absolutos,entre10001y20000
59 años,Hombres,33219,Absolutos,entre10001y20000
60 años,Hombres,33352,Absolutos,entre10001y20000
61 años,Hombres,31561,Absolutos,entre10001y20000
62 años,Hombres,30737,Absolutos,entre10001y20000
63 años,Hombres,29177,Absolutos,entre10001y20000
64 años,Hombres,27110,Absolutos,entre10001y20000
65 años,Hombres,26532,Absolutos,entre10001y20000
66 años,Hombres,24716,Absolutos,entre10001y20000
67 años,Hombres,24669,Absolutos,entre10001y20000
68 años,Hombres,24166,Absolutos,entre10001y20000
69 años,Hombres,22140,Absolutos,entre10001y20000
70 años,Hombres,21077,Absolutos,entre10001y20000
71 años,Hombres,21677,Absolutos,entre10001y20000
72 años,Hombres,22106,Absolutos,entre10001y20000
73 años,Hombres,19650,Absolutos,entre10001y20000
74 años,Hombres,18568,Absolutos,entre10001y20000
75 años,Hombres,18588,Absolutos,entre10001y20000
76 años,Hombres,16994,Absolutos,entre10001y20000
77 años,Hombres,16541,Absolutos,entre10001y20000
78 años,Hombres,13531,Absolutos,entre10001y20000
79 años,Hombres,12007,Absolutos,entre10001y20000
80 años,Hombres,14087,Absolutos,entre10001y20000
81 años,Hombres,8668,Absolutos,entre10001y20000
82 años,Hombres,9220,Absolutos,entre10001y20000
83 años,Hombres,9892,Absolutos,entre10001y20000
84 años,Hombres,9645,Absolutos,entre10001y20000
85 años,Hombres,8944,Absolutos,entre10001y20000
86 años,Hombres,7874,Absolutos,entre10001y20000
87 años,Hombres,6930,Absolutos,entre10001y20000
88 años,Hombres,6124,Absolutos,entre10001y20000
89 años,Hombres,4950,Absolutos,entre10001y20000
90 años,Hombres,4037,Absolutos,entre10001y20000
91 años,Hombres,3097,Absolutos,entre10001y20000
92 años,Hombres,2389,Absolutos,entre10001y20000
93 años,Hombres,1780,Absolutos,entre10001y20000
94 años,Hombres,1316,Absolutos,entre10001y20000
95 años,Hombres,882,Absolutos,entre10001y20000
96 años,Hombres,638,Absolutos,entre10001y20000
97 años,Hombres,453,Absolutos,entre10001y20000
98 años,Hombres,276,Absolutos,entre10001y20000
99 años,Hombres,171,Absolutos,entre10001y20000
100 y más años,Hombres,337,Absolutos,entre10001y20000
0 años,Hombres,28703,Absolutos,entre20001y50000
1 año,Hombres,32187,Absolutos,entre20001y50000
2 años,Hombres,33808,Absolutos,entre20001y50000
3 años,Hombres,36739,Absolutos,entre20001y50000
4 años,Hombres,39133,Absolutos,entre20001y50000
5 años,Hombres,40224,Absolutos,entre20001y50000
6 años,Hombres,40919,Absolutos,entre20001y50000
7 años,Hombres,40623,Absolutos,entre20001y50000
8 años,Hombres,42854,Absolutos,entre20001y50000
9 años,Hombres,44434,Absolutos,entre20001y50000
10 años,Hombres,45879,Absolutos,entre20001y50000
11 años,Hombres,46681,Absolutos,entre20001y50000
12 años,Hombres,48726,Absolutos,entre20001y50000
13 años,Hombres,46609,Absolutos,entre20001y50000
14 años,Hombres,46491,Absolutos,entre20001y50000
15 años,Hombres,45830,Absolutos,entre20001y50000
16 años,Hombres,45127,Absolutos,entre20001y50000
17 años,Hombres,44414,Absolutos,entre20001y50000
18 años,Hombres,43127,Absolutos,entre20001y50000
19 años,Hombres,42998,Absolutos,entre20001y50000
20 años,Hombres,43483,Absolutos,entre20001y50000
21 años,Hombres,42156,Absolutos,entre20001y50000
22 años,Hombres,40965,Absolutos,entre20001y50000
23 años,Hombres,41428,Absolutos,entre20001y50000
24 años,Hombres,41288,Absolutos,entre20001y50000
25 años,Hombres,41277,Absolutos,entre20001y50000
26 años,Hombres,41573,Absolutos,entre20001y50000
27 años,Hombres,42792,Absolutos,entre20001y50000
28 años,Hombres,43840,Absolutos,entre20001y50000
29 años,Hombres,43677,Absolutos,entre20001y50000
30 años,Hombres,44465,Absolutos,entre20001y50000
31 años,Hombres,45127,Absolutos,entre20001y50000
32 años,Hombres,46312,Absolutos,entre20001y50000
33 años,Hombres,47186,Absolutos,entre20001y50000
34 años,Hombres,47634,Absolutos,entre20001y50000
35 años,Hombres,50205,Absolutos,entre20001y50000
36 años,Hombres,52126,Absolutos,entre20001y50000
37 años,Hombres,54720,Absolutos,entre20001y50000
38 años,Hombres,58346,Absolutos,entre20001y50000
39 años,Hombres,61319,Absolutos,entre20001y50000
40 años,Hombres,65477,Absolutos,entre20001y50000
41 años,Hombres,66866,Absolutos,entre20001y50000
42 años,Hombres,70547,Absolutos,entre20001y50000
43 años,Hombres,71525,Absolutos,entre20001y50000
44 años,Hombres,72561,Absolutos,entre20001y50000
45 años,Hombres,72123,Absolutos,entre20001y50000
46 años,Hombres,70964,Absolutos,entre20001y50000
47 años,Hombres,69096,Absolutos,entre20001y50000
48 años,Hombres,68456,Absolutos,entre20001y50000
49 años,Hombres,66830,Absolutos,entre20001y50000
50 años,Hombres,64939,Absolutos,entre20001y50000
51 años,Hombres,63522,Absolutos,entre20001y50000
52 años,Hombres,62424,Absolutos,entre20001y50000
53 años,Hombres,62119,Absolutos,entre20001y50000
54 años,Hombres,60498,Absolutos,entre20001y50000
55 años,Hombres,58581,Absolutos,entre20001y50000
56 años,Hombres,59031,Absolutos,entre20001y50000
57 años,Hombres,55350,Absolutos,entre20001y50000
58 años,Hombres,52418,Absolutos,entre20001y50000
59 años,Hombres,50848,Absolutos,entre20001y50000
60 años,Hombres,50442,Absolutos,entre20001y50000
61 años,Hombres,48422,Absolutos,entre20001y50000
62 años,Hombres,47400,Absolutos,entre20001y50000
63 años,Hombres,45274,Absolutos,entre20001y50000
64 años,Hombres,41774,Absolutos,entre20001y50000
65 años,Hombres,39966,Absolutos,entre20001y50000
